site;src;index;date;temp;;;;;;;
Knysna;SAWS;Knysna/ SAWS;June;15,07;;;;;;;
Knysna;SAWS;Knysna/ SAWS;June;15,33;;;;;;;
Knysna;SAWS;Knysna/ SAWS;June;14,52;;;;;;;
Knysna;SAWS;Knysna/ SAWS;June;15,35;;;;;;;
Knysna;SAWS;Knysna/ SAWS;June;14,13;;;;;;;
Knysna;SAWS;Knysna/ SAWS;June;16,35;;;;;;;
Knysna;SAWS;Knysna/ SAWS;June;15,65;;;;;;;
Knysna;SAWS;Knysna/ SAWS;June;14,63;;;;;;;
Knysna;SAWS;Knysna/ SAWS;June;13,73;;;;;;;
Knysna;SAWS;Knysna/ SAWS;June;14,18;;;;;;;
Knysna;SAWS;Knysna/ SAWS;June;14,83;;;;;;;
Knysna;SAWS;Knysna/ SAWS;June;14,79;;;;;;;
Knysna;SAWS;Knysna/ SAWS;June;18,00;;;;;;;
Knysna;SAWS;Knysna/ SAWS;June;13,28;;;;;;;
Knysna;SAWS;Knysna/ SAWS;June;15,80;;;;;;;
Knysna;SAWS;Knysna/ SAWS;June;14,55;;;;;;;
Knysna;SAWS;Knysna/ SAWS;June;14,67;;;;;;;
Knysna;SAWS;Knysna/ SAWS;June;14,92;;;;;;;
Knysna;SAWS;Knysna/ SAWS;June;15,64;;;;;;;
Knysna;SAWS;Knysna/ SAWS;June;15,22;;;;;;;
Knysna;SAWS;Knysna/ SAWS;June;16,04;;;;;;;
Knysna;SAWS;Knysna/ SAWS;June;14,42;;;;;;;
Knysna;SAWS;Knysna/ SAWS;June;15,08;;;;;;;
Knysna;SAWS;Knysna/ SAWS;June;15,93;;;;;;;
Knysna;SAWS;Knysna/ SAWS;June;NA;;;;;;;
Knysna;SAWS;Knysna/ SAWS;June;15,37;;;;;;;
Knysna;SAWS;Knysna/ SAWS;June;14,61;;;;;;;
Knysna;SAWS;Knysna/ SAWS;June;14,20;;;;;;;
Knysna;SAWS;Knysna/ SAWS;June;14,92;;;;;;;
Knysna;SAWS;Knysna/ SAWS;June;16,05;;;;;;;
Knysna;SAWS;Knysna/ SAWS;July;14,53;14,6022381;;;;;;
Knysna;SAWS;Knysna/ SAWS;July;14,69;;;;;;;
Knysna;SAWS;Knysna/ SAWS;July;14,44;;;;;;;
Knysna;SAWS;Knysna/ SAWS;July;14,90;;;;;;;
Knysna;SAWS;Knysna/ SAWS;July;14,11;;;;;;;
Knysna;SAWS;Knysna/ SAWS;July;15,33;;;;;;;
Knysna;SAWS;Knysna/ SAWS;July;13,81;;;;;;;
Knysna;SAWS;Knysna/ SAWS;July;13,71;;;;;;;
Knysna;SAWS;Knysna/ SAWS;July;15,34;;;;;;;
Knysna;SAWS;Knysna/ SAWS;July;14,89;;;;;;;
Knysna;SAWS;Knysna/ SAWS;July;14,25;;;;;;;
Knysna;SAWS;Knysna/ SAWS;July;14,19;;;;;;;
Knysna;SAWS;Knysna/ SAWS;July;15,47;;;;;;;
Knysna;SAWS;Knysna/ SAWS;July;14,54;;;;;;;
Knysna;SAWS;Knysna/ SAWS;July;14,92;;;;;;;
Knysna;SAWS;Knysna/ SAWS;July;15,23;;;;;;;
Knysna;SAWS;Knysna/ SAWS;July;15,23;;;;;;;
Knysna;SAWS;Knysna/ SAWS;July;13,30;;;;;;;
Knysna;SAWS;Knysna/ SAWS;July;15,37;;;;;;;
Knysna;SAWS;Knysna/ SAWS;July;14,05;;;;;;;
Knysna;SAWS;Knysna/ SAWS;July;15,61;;;;;;;
Knysna;SAWS;Knysna/ SAWS;July;15,36;;;;;;;
Knysna;SAWS;Knysna/ SAWS;July;15,10;;;;;;;
Knysna;SAWS;Knysna/ SAWS;July;13,29;;;;;;;
Knysna;SAWS;Knysna/ SAWS;July;13,48;;;;;;;
Knysna;SAWS;Knysna/ SAWS;July;14,36;;;;;;;
Knysna;SAWS;Knysna/ SAWS;July;NA;;;;;;;
Knysna;SAWS;Knysna/ SAWS;July;15,43;;;;;;;
